lat,lon,value
52.0640802,1.1794953,"30 mph"
52.064724,1.1792754,"30 mph"
52.0649814,1.1794389,"30 mph"
52.0619675,1.1798742,"30 mph"
52.0646137,1.1792585,"30 mph"
52.0630777,1.1796871,"30 mph"
52.063369,1.1796276,"30 mph"
52.0626464,1.1797691,"30 mph"
52.0618383,1.1798775,"30 mph"
52.0615388,1.1798861,"30 mph"
52.0593366,1.1798326,"30 mph"
52.0592838,1.1803154,"30 mph"
52.0604934,1.1798848,"30 mph"
52.0598362,1.1798367,"30 mph"
52.0592047,1.1798433,"30 mph"
52.0592633,1.1806998,"30 mph"
52.059166,1.180798,"30 mph"
52.0618383,1.1798775,"30 mph"
52.0629057,1.1773231,"30 mph"
52.0630403,1.1780778,"30 mph"
52.0634148,1.1798879,"30 mph"
52.063369,1.1796276,"30 mph"
52.0636077,1.1825461,"30 mph"
52.056842,1.1692929,"30 mph"
52.057521,1.1744016,"30 mph"
52.0571794,1.1710703,"30 mph"
52.0572522,1.1727758,"30 mph"
52.0572373,1.1721017,"30 mph"
52.0572527,1.1729517,"30 mph"
52.0568181,1.1689506,"30 mph"
52.0572628,1.1730483,"30 mph"
52.057695,1.1752537,"30 mph"
52.0573203,1.173598,"30 mph"
52.0572339,1.1718521,"30 mph"
52.0570324,1.1702014,"30 mph"
52.0638265,1.1921434,"30 mph"
52.0651237,1.1964698,"30 mph"
52.0641922,1.1935137,"30 mph"
52.0657561,1.1984185,"30 mph"
52.0667958,1.2007395,"30 mph"
52.0638725,1.192364,"30 mph"
52.0672755,1.2015515,"30 mph"
52.0640511,1.1930467,"30 mph"
52.0647216,1.1951109,"30 mph"
52.0655476,1.1977769,"30 mph"
52.0661152,1.1993704,"30 mph"
52.0674314,1.2017357,"30 mph"
52.0629175,1.2238072,"30 mph"
52.0628831,1.2253512,"30 mph"
52.0628815,1.2259884,"30 mph"
52.0628622,1.2276657,"30 mph"
52.0255594,1.1400577,"60 mph"
52.0258338,1.1403567,"60 mph"
52.0255594,1.1400577,GB:nsl_single
52.0258338,1.1403567,GB:nsl_single
52.0372208,1.150587,"30 mph"
52.041139,1.1523664,"30 mph"
52.0373445,1.1506342,"30 mph"
52.0382478,1.1509889,"30 mph"
52.039741,1.1517167,"30 mph"
52.0415886,1.1525273,"30 mph"
52.0429834,1.1531735,"30 mph"
52.0409754,1.1523019,"30 mph"
52.035849,1.1502013,"30 mph"
52.0403231,1.1520024,"30 mph"
52.0367072,1.1504239,"30 mph"
52.049971,1.1497235,"30 mph"
52.0504931,1.1476896,"30 mph"
52.0496166,1.1500062,"30 mph"
52.0498352,1.1498936,"30 mph"
52.0501851,1.1491417,"30 mph"
52.0500882,1.1494455,"30 mph"
52.0499137,1.149821,"30 mph"
52.0502663,1.148841,"30 mph"
52.0600836,1.1481276,"30 mph"
52.0601315,1.1481589,"30 mph"
52.0601762,1.1481905,"30 mph"
52.0605683,1.1485377,"30 mph"
52.0627852,1.1499982,"30 mph"
52.0611392,1.1488784,"30 mph"
52.0336236,1.1158129,"30 mph"
52.0339651,1.1154155,"30 mph"
52.0346009,1.1172822,"30 mph"
52.0339315,1.1171833,"30 mph"
52.0342665,1.1170207,"30 mph"
52.0345666,1.1171632,"30 mph"
52.0351916,1.1177102,"30 mph"
52.0349661,1.1169831,"30 mph"
52.0344847,1.1159592,"30 mph"
52.0340573,1.1149589,"30 mph"
52.0351405,1.1176409,"30 mph"
52.0366458,1.115428,"30 mph"
52.0364346,1.1150207,"30 mph"
52.0367815,1.1159107,"30 mph"
52.0361027,1.1135726,"30 mph"
52.0360273,1.11312,"30 mph"
52.0361178,1.114176,"30 mph"
52.0368266,1.1120389,"30 mph"
52.0365251,1.1120339,"30 mph"
52.0363139,1.1121848,"30 mph"
52.0361027,1.1121094,"30 mph"
52.0367091,1.1109882,"30 mph"
52.0361192,1.1109601,"30 mph"
52.0354691,1.1108121,"30 mph"
52.0351976,1.1106612,"30 mph"
52.0351373,1.1104048,"30 mph"
52.0352278,1.1098014,"30 mph"
52.0354691,1.1108121,"30 mph"
52.0354842,1.112215,"30 mph"
52.0361192,1.1109601,"30 mph"
52.0361932,1.1102087,"30 mph"
52.0369429,1.1103335,"30 mph"
52.0365251,1.1093187,"30 mph"
52.0363411,1.1083784,"30 mph"
52.036148,1.1075236,"30 mph"
52.0359368,1.1076141,"30 mph"
52.0363898,1.1087388,"30 mph"
52.0365251,1.1093187,"30 mph"
52.0361329,1.1094544,"30 mph"
52.0363411,1.1083784,"30 mph"
52.0359669,1.1085343,"30 mph"
52.0375622,1.1099048,"30 mph"
52.0373246,1.1093036,"30 mph"
52.0371435,1.1088209,"30 mph"
52.0381099,1.1091594,"30 mph"
52.0378723,1.1086445,"30 mph"
52.0374,1.1076292,"30 mph"
52.0369625,1.10778,"30 mph"
52.0385533,1.1083251,"30 mph"
52.0381942,1.1077929,"30 mph"
52.0381467,1.1072951,"30 mph"
52.0384952,1.106866,"30 mph"
52.0385766,1.1067241,"30 mph"
52.0384861,1.1066185,"30 mph"
52.0381414,1.107544,"30 mph"
52.0401152,1.1084589,"30 mph"
52.040251,1.1076594,"30 mph"
52.0398437,1.1070861,"30 mph"
52.0398286,1.1069655,"30 mph"
52.0413371,1.1086097,"30 mph"
52.0412013,1.1081119,"30 mph"
52.0410203,1.1080063,"30 mph"
52.0409449,1.1080817,"30 mph"
52.0418166,1.1082243,"30 mph"
52.0414427,1.1076744,"30 mph"
52.0406638,1.1071936,"30 mph"
52.0401303,1.1066939,"30 mph"
52.0392554,1.1058945,"30 mph"
52.0389688,1.1057587,"30 mph"
52.0383503,1.1057285,"30 mph"
52.037762,1.105985,"30 mph"
52.0372944,1.106347,"30 mph"
52.0400554,1.1066255,"30 mph"
52.0385992,1.1057407,"30 mph"
52.0405015,1.1070416,"30 mph"
52.0421751,1.1061468,"30 mph"
52.0420159,1.1061358,"30 mph"
52.0419103,1.1062414,"30 mph"
52.0415332,1.1070861,"30 mph"
52.041684,1.1067995,"30 mph"
52.041684,1.1066487,"30 mph"
52.0423693,1.1058597,"30 mph"
52.0421751,1.1061468,"30 mph"
52.0422004,1.106924,"30 mph"
52.0420763,1.1073577,"30 mph"
52.0418651,1.1074633,"30 mph"
52.041684,1.1073426,"30 mph"
52.0415332,1.1070861,"30 mph"
52.0411712,1.1068297,"30 mph"
52.0410052,1.1064677,"30 mph"
52.0421751,1.1065502,"30 mph"
52.0412413,1.1053829,"30 mph"
52.0409945,1.1049237,"30 mph"
52.0408506,1.1048894,"30 mph"
52.0407958,1.1049442,"30 mph"
52.0417007,1.1048427,"30 mph"
52.041488,1.1052321,"30 mph"
52.0412413,1.1053829,"30 mph"
52.0410014,1.1057119,"30 mph"
52.0408712,1.1061025,"30 mph"
52.0398473,1.1037287,"30 mph"
52.0396786,1.1041012,"30 mph"
52.0393359,1.1040395,"30 mph"
52.0389247,1.1041286,"30 mph"
52.0388767,1.1040944,"30 mph"
52.0397481,1.1040391,"30 mph"
52.0383695,1.1021821,"30 mph"
52.0382462,1.1020588,"30 mph"
52.0381296,1.1020793,"30 mph"
52.0378349,1.1023946,"30 mph"
52.0375767,1.1024715,"30 mph"
52.0396238,1.1015996,"30 mph"
52.0395484,1.1018395,"30 mph"
52.0393359,1.1019423,"30 mph"
52.0392194,1.1022027,"30 mph"
52.0390343,1.1023398,"30 mph"
52.0386642,1.1021068,"30 mph"
52.0385203,1.1020656,"30 mph"
52.0383695,1.1021821,"30 mph"
52.0382667,1.1029087,"30 mph"
52.0392622,1.1021071,"30 mph"
52.0632848,1.0992474,"30 mph"
52.0637572,1.1001471,"30 mph"
52.0633826,1.0995548,"30 mph"
52.0633016,1.0993212,"30 mph"
52.0232944,1.1388858,"60 mph"
52.0234716,1.139089,"60 mph"
52.0235781,1.1391574,"60 mph"
52.0661099,1.2570754,"30 mph"
52.0662734,1.2582856,"30 mph"
52.067582,1.2564316,"30 mph"
52.0653803,1.2589518,"30 mph"
52.0669364,1.2556272,"30 mph"
52.0674142,1.2552146,"30 mph"
52.0670667,1.2553992,"30 mph"
52.0665431,1.2558203,"30 mph"
52.0656431,1.255898,"30 mph"
52.0662589,1.2556065,"30 mph"
52.0666541,1.2557792,"30 mph"
52.065898,1.2557859,"30 mph"
52.066018,1.2557694,"30 mph"
52.066099,1.2557309,"30 mph"
52.0661733,1.2556622,"30 mph"
52.0662257,1.255621,"30 mph"
52.066327,1.255632,"30 mph"
52.0663884,1.2557185,"30 mph"
52.0664422,1.2557933,"30 mph"
52.0664881,1.2558235,"30 mph"
52.067365,1.2552407,"30 mph"
52.0508449,1.2538627,"60 mph"
52.0549939,1.2585753,"60 mph"
52.0515884,1.2546306,"60 mph"
52.0511022,1.2539815,"60 mph"
52.0529801,1.2564599,"60 mph"
52.0508449,1.2538627,UK:nsl_single
52.0549939,1.2585753,UK:nsl_single
52.0515884,1.2546306,UK:nsl_single
52.0511022,1.2539815,UK:nsl_single
52.0529801,1.2564599,UK:nsl_single
52.0580405,1.2339241,"30 mph"
52.0559869,1.2340598,"30 mph"
52.0582473,1.2338718,"30 mph"
52.0552268,1.2341772,"30 mph"
52.0551395,1.2341992,"30 mph"
52.0651106,1.2508374,"30 mph"
52.0651866,1.2534827,"30 mph"
52.0636013,1.253379,"30 mph"
52.0651286,1.2509997,"30 mph"
52.0651175,1.2516194,"30 mph"
52.0644645,1.2551055,"30 mph"
52.0641768,1.255017,"30 mph"
52.0650041,1.2548057,"30 mph"
52.0650954,1.2507008,"30 mph"
52.0637452,1.2538217,"30 mph"
52.0650843,1.2525269,"30 mph"
52.0628451,1.252662,"30 mph"
52.0650511,1.2523941,"30 mph"
52.063878,1.2546296,"30 mph"
52.0651998,1.2543197,"30 mph"
52.0647227,1.2550646,"30 mph"
52.065086,1.2546546,"30 mph"
52.0651541,1.2544895,"30 mph"
52.0651465,1.2529362,"30 mph"
